Dist_Name,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area,Human_fatality,Human_injured,Population,Mean_Flood_Duration,Total_Casualties,Flooded_Population_Proxy,Hazard_Exposure_Product,Duration_Weighted_Inundation,Infrastructure_Risk_Score,Risk_Level
Adilabad,1.209758847,0.22104424,0.988714607,174,0,802880,8.0,174,9712.9118307936,16.447835056114446,9.678070776,24.47,Moderate
Agar Malwa,0.53688887,0.338892414,0.197996456,2,0,702666,6.0,2,3772.5355472741994,7.227940704027955,3.22133322,21.98,Low
Agra,4.133356464,0.10192976,4.031426704,133,32,5296620,20.0,165,218928.1851435168,63.995020584924596,82.66712928000001,42.58,Critical
Ahmadabad,4.222292965,0.122458085,4.09983488,177,23,8738876,12.0,200,368980.9465680734,67.48614242333626,50.66751558,39.98,Critical
Ahmadnagar,0.691347983,0.697616588,0.006268605,50,18,5113145,4.0,68,35349.624825365354,10.67947727761298,2.765391932,29.01,High
Aizawl,2.162077627,0.096288881,2.065788746,154,42,483635,2.0,196,10456.564131341449,28.29962396943604,4.324155254,20.05,Low
Ajmer,0.260510002,0.05695381,0.203556192,135,23,2985855,4.0,158,7778.450920217101,3.8840470503302624,1.042040008,26.13,Moderate
Akola,0.880057177,0.274621796,0.605435381,106,14,2032614,4.0,120,17888.16538770678,12.782684141861402,3.520228708,25.43,Moderate
Alappuzha,21.06652893,8.660110439,12.40641849,170,70,2167462,5.0,240,456609.0092767566,307.3410213380294,105.33264465,53.83,Critical
Aligarh,1.93292949,0.006094499,1.926834991,97,22,4376425,24.0,119,84593.2094327325,29.55786093542563,46.39030776,41.44,Critical
Alipurduar,4.056971682,0.017650059,4.039321623,19,0,1381430,5.0,19,56044.22390665261,57.36002346496463,20.284858410000002,28.29,Moderate
Alirajpur,0.872416618,0.738663983,0.133752635,7,0,917115,5.0,7,8001.063666170699,11.977398363668579,4.3620830900000005,23.0,Low
